"Department","Course ID","Course Title","Instructors","Description"
"Business Economics and Public Policy","BEPP6120","Microeconomics for Managers: Advanced Applications(0.5 CU)","Leon Musolff, Judd Kessler, Deniz Selman, Kent Smetters, Sagar Saxena","This course will cover the economic foundations of business strategy and decision-making in market environments with other strategic actors and less than full information, as well as advanced pricing strategies. Topics include oligopoly models of market competition, creation, and protection, sophisticated pricing strategies for consumers with different valuations or consumers who buy multiple units (e.g. price discrimination, bundling, two-part tariffs), strategies for managing risk and making decisions under uncertainty, asymmetric information and its consequences for markets, and finally moral hazard and principle-agent theory with application to incentive contacts."
"Business Economics and Public Policy","BEPP6130","Business Analytics with Data for Non-Coders(0.5 CU)","Kent Smetters","This 0.5 CU course merges the instruction offered in Managerial Economics with data to flesh out related concepts with practical business applications. The purpose of the course is to close the gap between the theory of business analytics and its actual practice, i.e., how you can really use it in your practice. More than ever, there is a need for business leaders to become more data literate: “Business leaders at every level need to become data literate and be able to understand data and analytical concepts that may have previously seemed out of reach, including statistical methods, machine learning, and data manipulation. With this spread of data literacy comes the powerful ability to make educated business decisions that rely on the smart use of data, rather than on an individual’s opinions. In the past, these tasks were extremely complex and would be handed off to engineers. With the tools that exist today, business leaders are able to dive into their own analytics and uncover powerful insights.” (Microsoft) You will learn how to conduct in-depth business analytics based on sensible economics reasoning. As the main project, you will build an end-to-end business workflow. The problem and data can come from a current employer, from your own startup idea, or, from the instructor to represent a hypothetical setting. In the tradition of MGEC, the course will also motivate future electives to refine components of your analysis. Ultimately, you will walk away from the course with a fuller understanding of how different business and economics concepts “fit together” to answer big, relevant questions. Your new skillset is repeatable for your future projects. You will also learn key ideas that allow you to work with future coding teams in your future work, thereby closing the language gap between business economic goals and coding implementation. Normally, this type of comprehensive problem solving would require using coding languages like Python or R. However, the instructor for this course has developed a no-code toolbox that can be used with Microsoft Excel that allows for end-to-end analytics, making data analytics accessible to a much wider audience. This software will be provided for free to you."
"Business Economics and Public Policy","BEPP6200","Behavioral Economics, Markets and Public Policy(1 CU)","Judd Kessler","Behavioral economics has revealed a variety of systematic ways in which people deviate from being perfectly selfish, rational, optimizing agents. These findings have important implications for government policy and firm behavior. This course will explore these implications by answering two main questions: (1) what does behavioral economics imply for when and how the government should intervene in markets? (2) What does behavioral economics imply for firms' pricing and production decisions? The course will present the standard economic approaches to answering these questions and then explore how answers change when we consider that people act in behavioral ways. Towards the end of the course, we will investigate specific policy questions, allowing us to debate solutions while hearing from policy makers operating in a world of behavioral agents."
"Business Economics and Public Policy","BEPP7080","Housing Markets(1 CU)","Joseph Gyourko","This course is designed for students interested in the economics and operations of housing markets.  It is primarily a U.S.-focused course.  The class is divided into five sections:  (1) economic analysis of housing market fundamentals (supply and demand);  (2) a policy analysis section on housing affordability issues in the U.S.;  (3) operations of homebuilders and rental landlords, as well as the single family rental sector;  this section includes a series of guest lecturers from industry executives;  (4) the nature of housing cycles;  and (5) a discussion of factors that have affected the evolution of housing markets over the long run. This course presumes knowledge of intermediate microeconomics.  For Wharton students, this means you must have passed MGEC 6110.  Non-Wharton students should have taken the equivalent course in the College.  The class is primarily lecture based, although we will have one flipped class, as well as a number of guest lecturers from industry.  There are two in-class midterms and two assignments."
"Business Economics and Public Policy","BEPP7610","Risk Analysis and Environmental Management(1 CU)","Michael Panfil","This course will introduce students to concepts in risk governance. We will delve into the three pillars of risk analysis: risk assessment, risk management, and risk communication. The course will spend time on risk financing, including insurance markets. There will be particular emphasis on climate risk management, including both physical impact risk and transition risk, although the course will also discuss several other examples, including management of environmental risks, terrorism, and cyber-security, among other examples. The course will cover how people perceive risks and the impact this has on risk management. We will explore public policy surrounding risk management and how the public and private sector can successfully work together to build resilience, particularly to changing risks."
"Business Economics and Public Policy","BEPP7630","Energy Markets & Policy(1 CU)","Arthur van Benthem","Over the last several decades, energy markets have become some of the most dynamic markets of the world economy. Traditional fossil fuel and electricity markets have been seen a partial shift from heavy regulation to market-driven incentives, while rising environmental concerns have led to a wide array of new regulations and ""environmental markets"". The growth of renewable energy could be another source of rapid change, but brings with it a whole new set of technological and policy challenges. This changing energy landscape requires quick adaptation from energy companies, but also offers opportunities to turn regulations into new business. The objective of this course is to provide students with the economist's perspective on a broad range of topics that professionals in the energy industry will encounter. Topics include the effect of competition, market power and scarcity on energy prices, the impact of deregulation on electricity and fossil fuel markets, extraction and pricing of oil and gas, geopolitical uncertainty and risk in hydrocarbon investments, the environmental impact and policies related to the energy sector, environmental cap-and-trade markets, energy efficiency, the economics and finance of renewable energy, and recent developments in the transportation sector."
"Business Economics and Public Policy","BEPP7650","Economics of Diversity and Discrimination(1 CU)","Corinne Low","This class will cover the economics of gender, race, and discrimination guided by economic theory and empirical evidence. Topics on gender will include workplace discrimination, policies to promote gender equality, the historical evolution of economic gender roles in the US, and initiatives to promote women's empowerment in developing countries. Topics on race will include an overview of historical economic exclusion and its consequences, the empirical measurement of discrimination, models of discrimination and their shortcomings, and how understanding hidden biases and historical barriers can increase firms' equity and performance. This course is complementary with MGMT 2240/MGMT 6240, and material will not overlap, so students especially interested in diversity issues should seek to take both courses. While MGMT 2240/MGMT 6240 focuses on evidence-based solutions for managing diversity, this course focuses on the economic science of race, gender, and discrimination: How do economists model bias? What does empirical evidence say about the benefits of diversity, and the harms of discrimination? How do we measure whether discrimination is still taking place, despite a growing awareness of diversity and inclusion? What is unique about women as economic agents, and how do we understand gender equality in the workplace in light of this? This class will equip students with economics models and empirical evidence that can serve as a toolkit to analyze both policy and business decisions. The format will be discussion based, with a short lecture each session and then active class discussion, drawing parallels between research and current events and news articles. Students will also present on various topics throughout the semester. The final project can be either a) an original research project, based on one of the topics discussed in class, or b) a case-style analysis of a modern management or policy dilemma building upon the class material."
"Business Economics and Public Policy","BEPP7700","American Public Policy through an Economic Lens(1 CU)","Deniz Selman","This course explores the economics and politics of public policy to provide an analytic framework for considering why, how, and with what success/failure government intervenes in a variety of policy areas. Particular attention will be paid to important policy issues relating to taxation, social security, low-income assistance, health insurance, education (both K-12 and higher ed), the environment, and government deficits. The costs and benefits of alternative policies will be explored along with the distribution of responsibilities between the federal, state, and local governments. While the course will focus primarily on U.S. policies, the topics covered (e.g. tax reform, deficits versus austerity, etc.) are currently at the center of the policy debate in many other industrialized countries as well."
"Business Economics and Public Policy","BEPP7730","Urban Fiscal Policy(1 CU)","Fernando Ferreira","This course will examine the provision of public services for firms and people through cities and other local governments.  Why cities exist, when fiscal policy fails, investments in infrastructure, how to improve school quality, realities of local governments such as inequality, crime, corruption, high cost of living, congestion, and unfunded pensions will be covered.  We will pay special attention to recent topics, such as the impact of the Covid-19 pandemic on city and public school finances, racial differences in police use of force, partnerships with the private sector, enterprise zones, the role of technology, and real estate policies that may (or may not!) promote housing affordability, such as inclusionary zoning and rent control."
"Business Economics and Public Policy","BEPP7840","Managerial Economics and Game Theory(0.5 CU)","Deniz Selman","The purpose of this course is to develop students' abilities to apply game theory to decision making. Development of the tools of game theory and the application of those tools is emphasized. Game theory has become an important tool for managers and consultants in analyzing and implementing tactical as well as strategic actions. This course will primarily focus on examples useful for developing competitive strategy in the private sector (pricing and product strategy, capacity choices, contracting and negotiating, signaling and bluffing, takeover strategy, etc.). Game theory can also be used to address problems relevant to a firm's organizational strategy (e.g., internal incentives and information flow within a firm) and to a firm's non-market environment (e.g., strategic trade policies, litigation and regulation strategy). Recommended background in intermediate microeconomics or equivalent. It is expected that the student has been introduced to some basic game theory. There will be a quick review of the basics and some recommended supplemental readings for those who have little or no background in game theory."
"Business Economics and Public Policy","BEPP7890","Economic Globalization: Policy, History and Contemporary Issues(1 CU)","Ayse kaya Orloff","This course is intended to deepen understanding of the major contemporary issues in the world economy. The focus is on the ""big picture"" of global economic developments and the evolution of economic thought over the last one hundred years. The topics include: financial market booms and busts; business cycles; monetary and fiscal policies; inequality; the social welfare state; technological change and economic growth; and international trade and financial arrangements. The time period covers: the Roaring Twenties; the Great Depression, the post war Golden Age (1945-1973); the stagflation of the 1970s; the Washington Consensus era of the market liberalization (1980-2007); and the 2008 financial crisis and ensuing Great Recession; and the recent rise of populism. This course also explores different schools of thought. The course will chronicle and compare economic policy and performance of the United States, Europe, Japan and emerging markets (Asia, Latin America, Africa)."
"Business Economics and Public Policy","BEPP8050","Risk Management(1 CU)","Deniz Selman","The last financial crisis and subsequent recession provide ample evidence that failure to properly manage risk can result in disaster. Individuals and firms confront risk in nearly all decisions they make. People face uncertainty in their choice of careers, spending and saving decisions, family choices, and many other facets of life. Similarly, the value that firms create by designing and marketing good products is at risk from a variety of sources. The bankruptcy of a key supplier, sharp rise in cost of financing, destruction of an important asset, impact of global warming, or a liability suit can quickly squander the value created by firms. In extreme cases, risky outcomes can bankrupt a firm, as has happened recently to manufacturers of automobile parts and a variety of financial service firms. The events since the Global Financial Crisis also offer stark reminders that risk can impose significant costs on individuals, firms, governments, and societ6y as a whole. This course explores how individuals and firms assess and evaluate risk, examines the tools available to successfully manage risk, and discusses real-world phenomena that limit the desired amount of risk-sharing. Our focus is primarily on explaining the products and institutions that will serve you better when making decisisions in your future careers and lives."
"Business Economics and Public Policy","BEPP8360","International Housing Comparisons(1 CU)","Susan M Wachter","This course analyzes housing finance systems and housing market outcomes across the globe. In the US, the course focuses on the development of securitization markets and addresses the current challenges of housing finance reform, including the future of Fannie Mae and Freddie Mac. Internationally, the course covers issues of access to housing and housing informality in developing countries, financial crises arising out of the housing sector, and market-oriented and public policy solutions. The course features a wide array of speakers in finance, government and academia who contribute their perspectives to pressing issues of mortgage market design."
"Finance","FNCE6110","Corporate Finance(1 CU)","Kevin Kaiser, Michael Roberts, Yao Zeng, Alexandra Indarte, Stephan Dieckmann","This course serves as an introduction to business finance (corporate financial management and investments) for both non-majors and majors preparing for upper-level course work. The primary objective is to provide the framework, concepts, and tools for analyzing financial decisions based on fundamental principles of modern financial theory. The approach is rigorous and analytical. Topics covered include discounted cash flow techniques; corporate capital budgeting and valuation; investment decisions under uncertainty; capital asset pricing; options; and market efficiency. The course will also analyze corporate financial policy, including capital structure, cost of capital, dividend policy, and related issues. Additional topics will differ according to individual instructors."
"Finance","FNCE6130","Macroeconomics and the Global Economic Environment(1 CU)","Anthony Landry, Joao Gomes, Lars Ljungqvist, Thomas Winberry, Tim Landvoigt, Stephen A Meyer","This course is required for all students except those who, having prior training in macroeconomics, money and banking, and stabilization policy at an intermediate or advanced level. The purpose of the course is to train students to think systematically about the current state of the economy and macroeconomic policy, and to be able to evaluate the economic environment within which business and financial decisions are made. The course emphasizes the use of economic theory to understand the workings of financial markets and the operation and impact of government policies. We will study the determinants of the level of national income, employment, investment, interest rates, the supply of money, inflation, exchange rates, and the formulation and operation of stabilization policies."
"Finance","FNCE6210","Corporate Finance (Half CU)(0.5 CU)","Yao Zeng, Stephan Dieckmann, Michael Roberts","This half-semester course serves as an introduction to corporate investments for non-majors. The primary objective is to provide a framework, concepts, and tools for analyzing financial decisions based on fundamental principles of modern financial theory. Topics covered include discounted cash flow techniques, corporate capital budgeting and valuation, investment decisions under uncertainty, and capital asset pricing. The approach is rigorous and analytical but the course will not cover several topics included in the full semester Corporate Finance course, including: market efficiency, corporate financial policy (including capital structure, cost of capital, dividend policy, and related issues), and options."
"Finance","FNCE6230","Macroeconomics and The Global Economic Environment (Half CU)(0.5 CU)","Anthony Landry, Tim Landvoigt","This half-semester course in Macroeconomics is intended for non-finance majors.  The goal of this course is to provide the foundation needed to recognize and understand broad economic and financial movements in the global economy. Key topics include national income accounting, production and economic growth, employment, business cycles, monetary and fiscal policy, and international finance. By the end of this course, students will be able to evaluate and discuss the global economic environment in which business and financial decisions are made."
"Finance","FNCE7030","Advanced Corporate Finance(1 CU)","Christopher Parsons, Bilge Yilmaz, Itay Goldstein, Daniel Garrett","The objective of this course is to study the major decision-making areas of managerial finance and some selected topics in financial theory. The course reviews the theory and empirical evidence related to the investment and financing policies of the firm and attempts to develop decision-making ability in these areas. This course serves as an extension of FNCE 6110. Some areas of financial management not covered in FNCE 6110 are covered in FNCE 7030. These may include leasing, mergers and acquisitions, corporate reorganizations, financial planning, and working capital management, and some other selected topics. Other areas that are covered in FNCE 6110 are covered more in depth and more rigorously in FNCE 7030. These include investment decision making under uncertainty, cost of capital, capital structure, pricing of selected financial instruments and corporate liabilities, and dividend policy."
"Finance","FNCE7050","Investment Management(1 CU)","Jules van Binsbergen, Christopher Geczy","This course studies the concepts and evidence relevant to the management of investment portfolios. Topics include diversification, asset allocation, portfolio optimization, factor models, the relation between risk and return, trading, passive (e.g., index-fund) and active (e.g., hedge-fund, long-short) strategies, mutual funds, performance evaluation, long-horizon investing and simulation. The course deals very little with individual security valuation and discretionary investing (i.e., ""equity research"" or ""stock picking"")."
"Finance","FNCE7070","Valuation(1 CU)","Kevin Kaiser, David Wessels, Amy Huber, Michael Roberts","The focus of this course is on the valuation of companies. The course covers current conceptual and theoretical valuation frameworks and translates those frameworks into practical approaches for valuing companies. The relevant accounting topics and the appropriate finance theory are integrated to show how to implement the valuation frameworks discussed on a step-by-step basis. The course teaches how to develop the required information for valuing companies from financial statements and other information sources in a real-world setting. Topics covered in depth include discounted cash flow techniques and price multiples. In addition, the course covers other valuation techniques such as leveraged buyout analysis."
"Finance","FNCE7170","Financial Derivatives(1 CU)","Domenico Cuoco, Mike Gibbons","This course covers one of the most exciting and fundamental areas in finance. Financial derivatives serve as building blocks to understand broad classes of financial problems, such as complex asset portfolios, strategic corporate decisions, and stages in venture capital investing. The main objective of this course is build intuition and skills on (1) pricing and hedging of derivative securities, and (2) using them for investment and risk management. In terms of methodologies, we apply the non-arbitrage principle and the law of one price to dynamic models through three different approaches: the binomial tree model, the Black-Scholes-Merton option pricing model, and the simulation-based risk neutral pricing approach. The course covers a wide range of applications, including the use of derivatives in asset management, the valuation of corporate securities such as stocks and corporate bonds with embedded options, interest rate and credit derivatives, as well as crude oil derivatives. We emphasize practical considerations of implementing strategies using derivatives as tools, especially when no-arbitrage conditions do not hold."
"Finance","FNCE7190","International Financial Markets and Cryptocurrencies(1 CU)","Yasser Boualam","Major topics include foreign exchange rates, international money markets, currency and interest rate derivatives, international stock and bond portfolios, and cryptocurrencies. Students learn about the features of financial instruments and the motivations of market participants. The class focuses on risk management, investing, and arbitrage in these markets. In addition to course prerequisites, FNCE 6130 is recommended but not required."
"Finance","FNCE7210","Real Estate Investment: Analysis and Financing(1 CU)","Sophie Calder-Wang, Todd Sinai, Benjamin Keys","This course provides an introduction to real estate investing with a focus on financial and economic analysis. It is intended both as a foundational class for students considering a career in real estate as well as a survey class for students interested in finance who want to learn about the real estate sector.  Project evaluation, financing strategies, risk assessment, investment decision making, and real estate capital markets are covered. No prior knowledge of the industry is required, but students will rapidly acquire a working knowledge of real estate markets and will quickly develop the quantitative tools to help them make investment decisions. Classes are conducted in a standard lecture format with discussion required. The course contains cases that help students evaluate the impact of more complex financing and capital markets tools used in real estate. There are three case studies and two midterms.  FNCE 6110 is required as the class assumes comfort with Corporate Finance concepts and terms."
"Finance","FNCE7250","Fixed Income Securities(1 CU)","Stephan Dieckmann","This course covers fixed income securities (including fixed income derivatives) and provides an introduction to the markets in which they are traded, as well as to the tools that are used to value these securities and to assess and manage their risk. Quantitative models play a key role in the valuation and risk management of these securities. In addition to course prerequisites, FNCE 6130 is recommended but not required."
"Finance","FNCE7300","Urban Fiscal Policy(1 CU)","Fernando Ferreira","This course will examine the provision of public services for firms and people through cities and other local governments.  Why cities exist, when fiscal policy fails, investments in infrastructure, how to improve school quality, realities of local governments such as inequality, crime, corruption, high cost of living, congestion, and unfunded pensions will be covered.  We will pay special attention to recent topics, such as the impact of the Covid-19 pandemic on city and public school finances, racial differences in police use of force, partnerships with the private sector, enterprise zones, the role of technology, and real estate policies that may (or may not!) promote housing affordability, such as inclusionary zoning and rent control."
"Finance","FNCE7310","Global Valuation and Risk Analysis(1 CU)","Karen Lewis, Gordon Bodnar","This course analyzes the financial management problems that result from operating in global environments. Key topics include managing currency risk through hedging and financing, calculating the cost of capital for foreign operations, assessing sovereign risks, capital budgeting from a project and parent perspective, and international taxation."
"Finance","FNCE7320","International Banking(1 CU)","Itay Goldstein, Max Harris","This course focuses on international financial institutions, especially the activities of global, systemically important banks. We will examine how current and historical events are reshaping the industry and highlight the basic analytics of managing a bank's exposure to liquidity, credit, market and reputational risk. Most classes will begin with discussion of a current event related to course topics. Three team projects will be assigned that will give you deeper exposure to analytic techniques related to the course. Throughout the semester, we will discuss public policy issues facing the international financial system. In addition to course prerequisites, FNCE 6130 is recommended."
"Finance","FNCE7370","Data Science for Finance(1 CU)","Shimon Kogan","This course will introduce students to data science for financial applications using the Python programming language and its ecosystem of packages (e.g., Dask, Matplotlib, Numpy, Numba, Pandas, SciPy, Scikit-Learn, StatsModels). To do so, students will investigate a variety of empirical questions from different areas within finance by way of data labs, or case studies that rely on data and analytics. Some of the areas that may be covered in the course, subject to time constraints, include: FinTech, investment management, corporate finance, corporate governance, venture capital, private equity. The course will highlight how big data and data analytics shape the way finance is practiced. Some programming and experience is helpful though knowledge of Python is not assumed."
"Finance","FNCE7380","Capital Markets(1 CU)","David Musto","The objective of this course is to give you a broad understanding of the instruments traded in modern financial markets, the mechanisms that facilitate their trading and issuance, as well as, the motivations of issuers and investors across different asset classes. The course will balance functional and institutional perspectives by highlighting the problems capital markets participants are seeking to solve, as well as, the existing assets and markets which have arisen to accomplish these goals. We will consider design, issuance, and pricing of financial instruments, the arbitrage strategies which keep their prices in-line with one another, and the associated economic and financial stability issues. The course is taught in lecture format, and illustrates key concepts by drawing on a collection of case studies and visits from industry experts. FNCE 6130 is recommended but not required."
"Finance","FNCE7390","Behavioral Finance(1 CU)","Marius Guenzel","There is an abundance of evidence suggesting that the standard economic paradigm - rational agents in an efficient market - does not adequately describe behavior in financial markets. In this course, we will survey the evidence and use psychology to guide alternative theories of financial markets. Along the way, we will address the standard argument that smart, profit-seeing agents can correct any distortions caused by irrational investors. Further, we will examine more closely the preferences and trading decisions of individual investors. We will argue that their systematic biases can aggregate into observed market inefficiencies, thus giving rise to apparently profitable trading strategies. The latter part of the course extends the analysis to corporate decision making. We then explore the evidence for both views in the context of capital structure, investment, dividend, and merger decisions. In addition to prerequisites, FNCE 7050 is highly recommended but not required."
"Finance","FNCE7400","Central Banks, Macroeconomic Policy and Financial Markets(1 CU)","Joao Gomes, Zvi Eckstein","Understanding and predicting central banking decision making and behavior is crucial for all market participants from asset managers and traders to private consumers. This course aims to provide the methods and knowledge on how central banks and governments think and implement policies to reach the goals of price and financial stability as well as support of growth and employment. The core of the course connects between the legal and actual goals that central banks follow and the related economic analysis on which these goals and policies are set. We explain the economic rationale for the policy prescriptions to reach the goals and how these policies are actually implemented by the Federal Reserve Bank (Fed) in the US, the European Central Bank (ECB), Bank of Israel (BOI) and some remarks on other countries. We use data, current events since 2007 as the basis for discussion and assignments. The second half of the class discusses the implications of these policies for equity and bond valuations. Students will be asked to forecast live policy decisions and implied market valuations."
"Finance","FNCE7401","Central Banks, Macroeconomic Policy and Financial Markets(1 CU)","Anthony Landry","Understanding and predicting central banking decision making and behavior is crucial for all market participants from asset managers and traders to private consumers. This course aims to provide the methods and knowledge on how central banks and governments think and implement policies to reach the goals of price and financial stability as well as support of growth and employment. The core of the course connects between the legal and actual goals that central banks follow and the related economic analysis on which these goals and policies are set. We explain the economic rationale for the policy prescriptions to reach the goals and how these policies are actually implemented by the Federal Reserve Bank (Fed) in the US, the European Central Bank (ECB), Bank of Israel (BOI) and some remarks on other countries. We use data, current events since 2007 as the basis for discussion and assignments. The second half of the class discusses the implications of these policies for equity and bond valuations. Students will be asked to forecast live policy decisions and implied market valuations.  This course is for Wharton Executive MBA students only."
"Finance","FNCE7500","Venture Capital and the Finance of Innovation(1 CU)","Luke Taylor, David Wessels, Mordechai Zandberg","This course covers the finance of technological innovation, with a focus on the valuation tools useful in the venture capital industry. These tools include the ""venture capital method,"" comparables analysis, discounted cash flow analysis, contingent-claims analysis. The primary audience for this course is finance majors interested in careers in venture capital or in R&D-intensive companies in health care or information technology."
"Finance","FNCE7510","The Finance of Buyouts and Acquisitions(1 CU)","Karin Thorburn, Burcu Esmer, Bulent Gultekin","The course focuses on financial tools, techniques, and best practices used in buyouts (financial buyers) and acquisitions (strategic buyers). While it will touch upon various strategic, organizational, and general management issues, the main lens for studying these transactions will be a financial one. It will explore how different buyers approach the process of finding, evaluating, and analyzing opportunities in the corporate-control market; how they structure deals and how deal structure affects both value creation and value division; how they add value after transaction completion; and how they realize their ultimate objectives (such as enhanced market position or a profitable exit). The course is divided into two broad modules. The first module covers mergers and acquisitions, and the second one studies buyouts by private equity partnerships. FNCE 7030 or FNCE 7070 are recommended."
"Finance","FNCE7530","Distressed Investing and Value Creation(1 CU)","Kevin Kaiser","This course familiarizes students with financial, strategic and legal issues associated with the restructuring of financially distressed firms and investment in distressed securities. The objective is to give students the concepts and tools necessary to assess the often-complex situation facing a firm in financial distress. The course covers the various options available for distressed firms, such as out-of-court workouts, exchange offers, prepackaged and pre-negotiated, bankruptcies, distressed asset sales, 363 auctions, and Chapter 11 reorganization. We consider distressed debt as an asset class, develop techniques for investing in distressed securities and assess investment opportunities using the concepts of value investing. Students will sharpen their conceptual knowledge of finance and valuation in order to properly estimate the value of a distressed firm, and its securities. We will also address the importance of value creation and how to manage for value creation to either resolve distress or avoid it in the first place. FNCE 7030 or FNCE 7070 are recommended."
"Finance","FNCE7540","ESG and Impact Investing(1 CU)","Christopher Geczy","This course explores Impact Investing, a discipline that seeks to generate social benefits as well as financial returns. From tiny beginnings, the Impact Investment space has expanded and now commands significant attention from policymakers, wealthy and public-spirited individuals, academia and, not least, the world's largest asset managers and philanthropic foundations. Evangelists believe it may be the key to freeing the world from poverty. Skeptics think it will remain confined to the boutique. Regardless, Impact Investing is becoming a distinct career specialization for finance professionals despite the diverse skillset each must have and the uncertainty of the new field's growth. In addition to prerequisites, FNCE 7050 is recommended but not required."
"Finance","FNCE7800","FinTech(0.5 CU)","Shimon Kogan","The course exposes students to this fast-growing and exciting intersection between finance (Fin) and technology (Tech) while emphasizing the role data and analytics play. The course is structured around three main FinTech areas: (i) Lending/Banking services, (ii) Clearing (iii) Trading. It provides specific coverage and examples of developments from(1) market-place lending, (2) blockchain and distributed ledgers, (3) quantitative trading and its use of non-standard inputs. In each of these areas, we start by analyzing the marketplace, the incumbents, and then proceed to analyze the impact of the most relevant technologies have on the business. The course is built around data/code examples, cases, guest lectures, and group projects. Student are thus expected to work in teams and demonstrate a high level of independent learning and initiative."
